INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
Eastbound Glenmore Trail approaching 18 Street SE,-114.0210676,50.9833145,-16.7,76,34,9,24.1,89.05,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0210676,50.9833145,-16.7,76,34,9,24.1,89.05,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0210676,50.9833145,-16.7,76,34,9,24.1,89.05,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Eastbound Glenmore Trail approaching 18 Street SE,-114.0204767,50.98287833,-29,70,34,15,8.1,90.4,Ice Crystals ,11
Southbound Macleod Trail onto Anderson Road SE,-114.0718641,50.95054991,-5.6,91,2,36,1,87.58, ,9
Woodgreen Place and Woodgreen Drive SW,-114.1032782,50.93831377,-4.5,93,7,27,1.6,87.36, ,9
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-3.6,93,11,25,1,87.56, ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-3.6,93,11,25,1,87.56, ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-3.6,93,11,25,1,87.56, ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-11.9,82,11,23,2,89.57,"Snow Grains,Snow Showers ",10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-11.9,82,11,23,2,89.57,"Snow Grains,Snow Showers ",10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,-11.9,82,11,23,2,89.57,"Snow Grains,Snow Showers ",10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,3.3,29,30,23,48.3,88.37,Mostly Cloudy ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,3.3,29,30,23,48.3,88.37,Mostly Cloudy ,10
Shawnessy Boulevard and Macleod Trail SE,-114.0701149,50.91292012,3.3,29,30,23,48.3,88.37,Mostly Cloudy ,10
Southland Drive and Acadia Drive SE,-114.0484281,50.96398655,-4.2,87,17,10,1.6,88.08, ,11
Southland Drive and Acadia Drive SE,-114.0484281,50.96398655,-4.2,87,17,10,1.6,88.08, ,11
Southland Drive and Acadia Drive SE,-114.0484281,50.96398656,-20.6,36,7,9,64.4,88.55,Mainly Clear ,11
Southland Drive and Acadia Drive SE,-114.0484281,50.96398656,-20.6,36,7,9,64.4,88.55,Mainly Clear ,11
162 Avenue and James McKevitt Road SW,-114.0995345,50.90533739,-5.3,86,3,41,16.1,87.72,Cloudy ,10
162 Avenue and James McKevitt Road SW,-114.0995345,50.90533739,-5.3,86,3,41,16.1,87.72,Cloudy ,10
162 Avenue and James McKevitt Road SW,-114.0990635,50.90532026,7.1,40,20,4,6.4,88.67,Smoke ,10
162 Avenue and James McKevitt Road SW,-114.0990635,50.90532026,7.1,40,20,4,6.4,88.67,Smoke ,10
146 Avenue and 53 Street SW,-114.1633387,50.92135828,-8.8,57,22,8,64.4,87.9,Mostly Cloudy ,9
146 Avenue and 53 Street SW,-114.1633387,50.92135828,-8.8,57,22,8,64.4,87.9,Mostly Cloudy ,9
146 Avenue and 53 Street SW,-114.1633387,50.92135828,1.6,29,30,9,56.3,89.2,Mainly Clear ,9
146 Avenue and 53 Street SW,-114.1633387,50.92135828,1.6,29,30,9,56.3,89.2,Mainly Clear ,9
Southbound Macleod Trail and Bannister Road SE,-114.0648682,50.91413994,-16.6,78,4,14,8.1,89.72, ,10
Southbound Macleod Trail and Bannister Road SE,-114.0648682,50.91413994,-16.6,78,4,14,8.1,89.72, ,10
Southbound Macleod Trail and Bannister Road SE,-114.0648682,50.91413994,-1,58,16,24,48.3,89.04,Mainly Clear ,10
Southbound Macleod Trail and Bannister Road SE,-114.0648682,50.91413994,-1,58,16,24,48.3,89.04,Mainly Clear ,10
Eastbound Anderson Road approaching Acadia Drive SE,-114.0481336,50.94809366,-8.9,92,16,22,4.8,89.1,"Snow Grains, ",11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0481336,50.94809366,-8.9,92,16,22,4.8,89.1,"Snow Grains, ",11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0481336,50.94809366,-8.9,92,16,22,4.8,89.1,"Snow Grains, ",11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0481336,50.94809366,-8.9,92,16,22,4.8,89.1,"Snow Grains, ",11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0481336,50.94809366,-8.9,92,16,22,4.8,89.1,"Snow Grains, ",11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0481336,50.94809366,-8.9,92,16,22,4.8,89.1,"Snow Grains, ",11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-13.3,20,27,13,56.3,89.39,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-13.3,20,27,13,56.3,89.39,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-13.3,20,27,13,56.3,89.39,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-13.3,20,27,13,56.3,89.39,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-13.3,20,27,13,56.3,89.39,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-13.3,20,27,13,56.3,89.39,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-8.8,74,36,2,24.1,88.02,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-8.8,74,36,2,24.1,88.02,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-8.8,74,36,2,24.1,88.02,Mostly Cloudy ,11
Eastbound Anderson Road approaching Acadia Drive SE,-114.0441396,50.94833141,-8.8,74,36,2,24.1,88.02,Mostly Cloudy ,11
