INCIDENT INFO,Longitude,Latitude,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Visibility,Pressure,Weather,cluster_label
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.9198625,51.05985542,-19.6,72,35,34,3.6,88.6, ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,4
Northbound Stoney Trail approaching 16 Avenue NE,-113.920094,51.05460163,-16.8,69,21,10,24.1,89.88,Mainly Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-12.3,57,4,4,24.1,88.65,Clear ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-13.5,87,19,18,8.1,89.04,"Snow Grains, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,-5.8,88,2,26,2,88.6, ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,11.9,73,2,45,14.5,88.17,"Thunderstorms,Rain Showers, ",4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,4
68 Street and 22 Avenue NE,-113.9355557,51.07262124,7,85,24,4,8.1,88.98,Smoke ,4
Northbound 52 Street and 106 Avenue SE,-113.9589582,50.95784607,-10.8,74,19,9,24.1,88.78,Cloudy ,3
5 Street and 9 Avenue SW,-114.0740094,51.04490784,-10.9,68,22,9,16.1,88.9,Mostly Cloudy ,1
Northbound Crowchild Trail and Memorial Drive NW,-114.1148374,51.04699032,-11,90,22,8,0.2,89.12, ,1
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0465756,51.11054119,-8.9,92,19,10,1.6,89.11, ,0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0465756,51.11054119,-8.9,92,19,10,1.6,89.11, ,0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0465756,51.11054119,-8.9,92,19,10,1.6,89.11, ,0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0479376,51.11051223,-0.7,53,17,12,64.4,87.72,Mostly Cloudy ,0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0479376,51.11051223,-0.7,53,17,12,64.4,87.72,Mostly Cloudy ,0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0479376,51.11051223,-0.7,53,17,12,64.4,87.72,Mostly Cloudy ,0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0502878,51.11049866,1.6,79,6,10,12.9,88.4,"Thunderstorms,Rain Showers ",0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0502878,51.11049866,1.6,79,6,10,12.9,88.4,"Thunderstorms,Rain Showers ",0
Eastbound 64 Avenue and Deerfoot Trail NE,-114.0502878,51.11049866,1.6,79,6,10,12.9,88.4,"Thunderstorms,Rain Showers ",0
17 Avenue and 19 Street SW,-114.106308,51.03782796,-8.9,92,19,10,1.6,89.11, ,1
17 Avenue and 19 Street SW,-114.106308,51.03782796,-8.9,92,19,10,1.6,89.11, ,1
17 Avenue and 19 Street SW,-114.106308,51.03782796,-11.3,37,27,23,64.4,87.76,Mostly Cloudy ,1
17 Avenue and 19 Street SW,-114.106308,51.03782796,-11.3,37,27,23,64.4,87.76,Mostly Cloudy ,1
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-11.6,88,17,10,6.4,89.12, ,4
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-11.6,88,17,10,6.4,89.12, ,4
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-11.6,88,17,10,6.4,89.12, ,4
Memorial Drive and 36 Street NE,-113.9827567,51.05186917,2.7,39,16,12,24.1,88.77,Mostly Cloudy ,4
Memorial Drive and 36 Street NE,-113.9827567,51.05186917,2.7,39,16,12,24.1,88.77,Mostly Cloudy ,4
Memorial Drive and 36 Street NE,-113.9827567,51.05186917,2.7,39,16,12,24.1,88.77,Mostly Cloudy ,4
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-2,62,16,20,64.4,88.95,Mostly Cloudy ,4
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-2,62,16,20,64.4,88.95,Mostly Cloudy ,4
Memorial Drive and 36 Street NE,-113.9829193,51.05213682,-2,62,16,20,64.4,88.95,Mostly Cloudy ,4
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-11.6,88,17,10,6.4,89.12, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.20145,51.12137235,-9.7,90,10,10,1.6,87.56, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2013946,51.12131842,-3.5,90,3,23,2.4,89.86, ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,2
Southbound Nose Hill Drive and Crowchild Trail NW,-114.2032408,51.11968378,-10.2,34,17,23,64.4,88.12,Mainly Clear ,2
Sunridge Wy and Barlow Trail NE,-114.0018139,51.07346451,-10.4,88,17,12,6.4,89.16, ,4
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-9.5,90,15,8,4.8,89.11, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0304509,50.96053027,17.9,75,17,16,24.1,89.8,28,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0298148,50.95836702,9.8,63,9,17,64.4,89.24,Clear ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.036222,50.97058953,-8.7,82,33,10,11.3,87.89, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.0316174,50.96399007,3,24,5,22,9.7,88.57,Smoke ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029642,50.95818421,-18.4,80,36,9,4.8,89.51, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,3
Northbound Deerfoot Trail approaching Southland Drive SE,-114.029814,50.95902868,-8.5,85,35,19,9.7,87.32, ,3
